AoA,C_l_ram,C_d_ram,C_l_wake,C_d_wake
0.0,0.01248101109492294,0.07125959663392006,-0.012489491282064221,0.07126272639399264
1.0,0.01491903734054874,0.09031486559584335,-0.010236847241224901,0.05498242245470893
2.0,0.017485374021954908,0.11213899685741185,-0.008194613379433932,0.041455913110640556
3.0,0.020072953723622326,0.1365550691009513,-0.006394473859677106,0.03048293966373318
4.0,0.022680515597018874,0.16327264043150458,-0.004865213003287578,0.021860186853739458
5.0,0.025271554431693766,0.1921123579066461,-0.0035993460762638084,0.015265236244136598
6.0,0.02781737666503921,0.22262492193075553,-0.002590074290136774,0.010373451736543797
7.0,0.03027144708053736,0.2544719437435532,-0.0018099892616380985,0.0068593235093556484
8.0,0.03258981600233508,0.28753971393821437,-0.0012288160312909308,0.00440512892782526
9.0,0.034931335580082885,0.32133794589132575,-0.0008098724041073008,0.002750326574110811
10.0,0.03708926623301497,0.35559063821410686,-0.0005173820464498756,0.0016676921787744988
11.0,0.03923980128314721,0.39030667942639,-0.000320725582159955,0.0009822428596389522
12.0,0.041313614277893984,0.4252921336601235,-0.00019284294219594722,0.0005616511688146576
13.0,0.04331010252437526,0.46027238378199586,-0.00011251123443294483,0.000311863663080884
14.0,0.045097236896851696,0.4953653389928981,-6.360845967846457e-5,0.00016819705560720575
15.0,0.047167569957607215,0.5304346563021092,-3.49423266513716e-5,8.812028924099418e-5
16.0,0.04896818646890711,0.5653427238051714,-1.8612162173302003e-5,4.486768880929718e-5
17.0,0.05075062910144381,0.6002830437375245,-9.629632987264896e-6,2.2193224555557216e-5
18.0,0.052668741385929224,0.6350652302197679,-4.838638931631503e-6,1.0672245237660468e-5
19.0,0.05427264003079449,0.669760143648565,-2.363594173759335e-6,4.9950326799188335e-6
20.0,0.05579685948969557,0.7042395101187039,-1.1232800320327682e-6,2.27485698362219e-6
21.0,0.05740136158799034,0.7388609856706226,-5.192340999248839e-7,1.0088680191195501e-6
22.0,0.05873714204115192,0.7730373154919521,-2.3372150395690035e-7,4.359696641537869e-7
23.0,0.06028837149792002,0.8071138010359424,-2.9020993895729344e-7,4.962201099553351e-7
24.0,0.06193872537735664,0.8408536704853298,-0.0,-0.0
25.0,0.06302377565786892,0.8746876495300983,-0.0,-0.0
26.0,0.06401579875457043,0.9082248842985775,-0.0,-0.0
27.0,0.06560925646052986,0.9415372657041815,-0.0,-0.0
28.0,0.06661090166265855,0.9744615229357307,-0.0,-0.0
29.0,0.06767293260877454,1.0068138389447865,-0.0,-0.0
30.0,0.06873370235982865,1.0395033225388817,-0.0,-0.0
31.0,0.06968183040080658,1.0719989120939326,-0.0,-0.0
32.0,0.07071218923922579,1.1038668424406564,-0.0,-0.0
33.0,0.07147964493555545,1.1356231792230331,-0.0,-0.0
34.0,0.07202611048040339,1.1673337053751938,-0.0,-0.0
35.0,0.07262714447211967,1.1980264627782695,-0.0,-0.0
36.0,0.0733861107691846,1.2286139665368885,-0.0,-0.0
37.0,0.07358855593123317,1.2590707839095605,-0.0,-0.0
38.0,0.074230025126757,1.2891147302724149,-0.0,-0.0
39.0,0.07459525459656591,1.3187439185154661,-0.0,-0.0
40.0,0.07462715161434405,1.3481356117866647,-0.0,-0.0
41.0,0.07467130065307295,1.377174919290963,-0.0,-0.0
42.0,0.07474313153649202,1.4055479434598361,-0.0,-0.0
43.0,0.07498647542729292,1.4341664279270028,-0.0,-0.0
44.0,0.07468651373968246,1.461647289375443,-0.0,-0.0
45.0,0.07459341234196133,1.489171730353333,-0.0,-0.0
46.0,0.07425341599481011,1.5157110472028645,-0.0,-0.0
47.0,0.07406413365089487,1.5420897073737396,-0.0,-0.0
48.0,0.07361940877216487,1.5684899647641461,-0.0,-0.0
49.0,0.07335852549824642,1.5937406200973616,-0.0,-0.0
50.0,0.07265736859611967,1.6187643374325265,-0.0,-0.0
51.0,0.0719396072049511,1.6435689670502203,-0.0,-0.0
52.0,0.07158478161094976,1.6672382582418181,-0.0,-0.0
53.0,0.07040676301202468,1.6912706023793982,-0.0,-0.0
54.0,0.06956356787560572,1.7139516783958773,-0.0,-0.0
55.0,0.06886822724463201,1.736566572324345,-0.0,-0.0
56.0,0.06796422044341405,1.7585147408328052,-0.0,-0.0
57.0,0.06639827504226897,1.780203626513138,-0.0,-0.0
58.0,0.06510126763594064,1.8007729353044084,-0.0,-0.0
59.0,0.0642737411654235,1.8210307846978804,-0.0,-0.0
60.0,0.06298439585755936,1.8406847815086307,-0.0,-0.0
61.0,0.061654983734948404,1.8603089429679995,-0.0,-0.0
62.0,0.05982364043357845,1.8788160203170903,-0.0,-0.0
63.0,0.058372151426934485,1.8969239647023264,-0.0,-0.0
64.0,0.05640725361558703,1.9145708852346262,-0.0,-0.0
65.0,0.055512539553516135,1.9310118519106585,-0.0,-0.0
66.0,0.05363766411834931,1.9472049081097473,-0.0,-0.0
67.0,0.05120489170894036,1.9635108490123616,-0.0,-0.0
68.0,0.05006379012061584,1.9783774660268405,-0.0,-0.0
69.0,0.04784843467573626,1.99250399913648,-0.0,-0.0
70.0,0.045732460933760245,2.0061455992899835,-0.0,-0.0
71.0,0.044578888649720635,2.0197755734763927,-0.0,-0.0
72.0,0.042210778859703674,2.0324310809056176,-0.0,-0.0
73.0,0.04041367081672795,2.0437108052579753,-0.0,-0.0
74.0,0.03793343322313135,2.0549550601879147,-0.0,-0.0
75.0,0.03608029003335292,2.0656335827453907,-0.0,-0.0
76.0,0.03370968136987406,2.0754973050003644,-0.0,-0.0
77.0,0.031136688538715235,2.084769251831671,-0.0,-0.0
78.0,0.029161037915355615,2.0937320892283453,-0.0,-0.0
79.0,0.02658556040655224,2.1009929738356834,-0.0,-0.0
80.0,0.024107874251678384,2.108149079949475,-0.0,-0.0
81.0,0.021964661821075832,2.1154194630753826,-0.0,-0.0
82.0,0.020369573573085133,2.1209845823679596,-0.0,-0.0
83.0,0.017972610678757477,2.126027282341652,-0.0,-0.0
84.0,0.014814160459613476,2.1304587494534806,-0.0,-0.0
85.0,0.012437123787143858,2.1342147312719657,-0.0,-0.0
86.0,0.009883088098616918,2.1375937403506526,-0.0,-0.0
87.0,0.007479895129846428,2.1395900466934616,-0.0,-0.0
88.0,0.005234393454985936,2.14192902842833,-0.0,-0.0
89.0,0.002106888865318542,2.1430869925709852,-0.0,-0.0
90.0,-8.980447322838273e-5,2.1426918703822717,-0.0,-0.0
